assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,hits,blockedShots,points_sd,plusMinus_sd,shg_sd,faceoffPctg_sd,blocks_sd,hits_sd,pim_sd,position,points_avg,plusMinus_avg,shg_avg,blocks_avg,hits_avg,pim_avg,faceoffPctg_avg,faceoffWins,faceoff_avg,faceoff_sd,fights,playerName,team,gp,points_ratio,plusMinus_ratio,shg_ratio,faceoffPctg_ratio,blocks_ratio,hits_ratio,pim_ratio,faceoff_ratio,fights_ratio
27,17,36,0.53277,4,82,24,Henrique,0,37,8474641,9,51,0.62195,C,5,10,20232024,2,5,0.17142,L,140,Adam Henrique,"ANA,EDM",1010.9512,99,78,0.7908045286279746,1.1043825949920425,0.15425744683748185,0.5521533741717995,0.9357720045488237,1.2171318232115862,1.3628560311237907,F,0.6219512195121951,0.10975609756097561,0.024390243902439025,0.9512195121951219,1.2073170731707317,0.45121951219512196,0.006497195121951219,681,6.611650485436896,4.039208347190614,2,Adam Henrique,"ANA,EDM",82,0.34730268411187415,0.052155961478758874,0.02113067926853336,0.004185923395243078,0.49139026184895446,0.5445400496854059,0.1909636077067797,1.3120415013447353,0.024390243902439025
4,1,4,0.41666,0,32,2,Wahlstrom,0,8,8480789,-6,6,0.1875,R,1,2,20232024,0,0,0.04878,R,41,Oliver Wahlstrom,NYI,664.2187,35,22,0.46351240544347894,1.0734727523323542,0.0,0.3144579064940816,0.8816709987291178,1.0711960313126632,0.6614378277661477,F,0.1875,-0.1875,0.0,0.6875,1.09375,0.25,0.013020625,6,0.16666666666666669,0.4409585518440984,2,Oliver Wahlstrom,NYI,32,0.1281164404911095,-0.09042800287058986,0.0,0.009905699479360715,0.3653667407662328,0.5280765236435941,0.15047207654837882,0.11566374789432447,0.0625
13,3,15,0,0,66,3,Fehérváry,0,24,8480796,-7,16,0.24242,D,0,0,20232024,0,1,0.04918,L,61,Martin Fehérváry,WSH,1177.8636,188,109,0.4285495643554831,1.25684535196306,0.0,0.0,1.451148179080696,2.2241268238475764,0.846317578410239,D,0.24242424242424243,-0.10606060606060606,0.0,1.6515151515151516,2.8484848484848486,0.36363636363636365,0.0,0,0.0,0.0,1,Martin Fehérváry,WSH,66,0.1696995669405539,-0.04699507033937967,0.0,0.0,0.6737720573607072,0.8834903228420624,0.1969522296101793,0.0,0.015151515151515152
28,20,43,0.375,2,82,22,Farabee,1,37,8480797,-13,50,0.60975,L,2,7,20232024,0,0,0.12087,L,182,Joel Farabee,PHI,971.1829,67,50,0.7284480255155165,1.234360822006844,0.0,0.4331751697878986,0.8661112636373031,0.9769046284989278,2.0009292903511415,F,0.6097560975609756,-0.15853658536585366,0.0,0.6097560975609756,0.8170731707317073,0.45121951219512196,0.004573170731707317,30,0.3488372093023256,0.5860280543420536,4,Joel Farabee,PHI,82,0.35277664619340426,-0.07095388703757358,0.0,0.0031909363405899075,0.3267522732661066,0.4133093518791114,0.1503599280549274,0.21994390852502094,0.04878048780487805
36,12,35,0.4635,3,75,18,Kurashev,1,23,8480798,-44,54,0.72,C,6,19,20232024,0,0,0.14062,L,128,Philipp Kurashev,CHI,1141.1066,27,48,0.8572825283028538,1.2338917654676556,0.0,0.46121295633845033,0.7050295502081219,0.603103086821261,0.9088209700241046,F,0.72,-0.5866666666666667,0.0,0.64,0.36,0.30666666666666664,0.006180000000000001,127,1.6710526315789473,2.3585686889272086,0,Philipp Kurashev,CHI,75,0.3876631524972784,-0.26262090032094754,0.0,0.0042293629913370216,0.37536006336188094,0.22456447308939553,0.1606576370872508,0.4975490413783122,0.0
75,12,54,0,2,82,17,Hughes,1,38,8480800,38,92,1.12195,D,5,38,20232024,0,0,0.08542,L,199,Quinn Hughes,VAN,1481.0975,29,55,1.086393046405858,1.4583244808660245,0.0,0.0,0.8561809423642975,0.6123117175918632,1.1390531150083534,D,1.1219512195121952,0.4634146341463415,0.0,0.6707317073170732,0.35365853658536583,0.4634146341463415,0.0,0,0.0,0.0,0,Quinn Hughes,VAN,82,0.537746816902469,0.18850832660751465,0.0,0.0,0.3613503899370572,0.21934873556187234,0.21664475318301374,0.0,0.0
37,25,52,0.52631,2,81,37,Tkachuk,1,134,8480801,1,74,0.91358,L,12,22,20232024,0,0,0.10364,L,357,Brady Tkachuk,OTT,1148.5308,294,34,0.9962588149052846,1.401003407266623,0.0,0.5968648778797071,0.605819464019027,2.622054817841164,3.685676291283244,F,0.9135802469135802,0.012345679012345678,0.0,0.41975308641975306,3.6296296296296298,1.654320987654321,0.006497654320987653,203,2.416666666666666,1.7403361288181778,14,Brady Tkachuk,OTT,81,0.4576461930147701,0.005141883170586743,0.0,0.004069006971720199,0.2613949424732963,1.0020913023599627,0.3530591711450174,0.8818869485579858,0.1728395061728395
18,12,27,0.50835,3,81,12,McLeod,0,10,8480802,10,30,0.37037,C,0,1,20232024,0,2,0.1132,L,106,Ryan McLeod,EDM,854.5802,65,34,0.6928995160692487,1.1587851881735622,0.0,0.5377252353369801,0.6452905849566406,0.9612203288800854,0.48132317752142995,F,0.37037037037037035,0.12345679012345678,0.0,0.41975308641975306,0.8024691358024691,0.12345679012345678,0.006275925925925925,442,4.2095238095238106,2.76610518029968,0,Ryan McLeod,EDM,81,0.2187787088688731,0.05718808466900186,0.0,0.004081305152380235,0.25512398250963986,0.4091682734395797,0.08334223888269024,1.1177393110377354,0.0
64,10,47,0,7,81,18,Bouchard,2,32,8480803,34,82,1.01234,D,8,35,20232024,0,0,0.08181,R,220,Evan Bouchard,EDM,1379.8271,71,105,0.949253470950177,1.5465149792384791,0.0,0.0,1.1160384572829152,1.0468378728740781,0.8560462134992461,D,1.0123456790123457,0.41975308641975306,0.0,1.2962962962962963,0.8765432098765432,0.3950617283950617,0.0,0,0.0,0.0,0,Evan Bouchard,EDM,81,0.5193504560075868,0.164834328422163,0.0,0.0,0.6126052633092485,0.42824261828111504,0.2128512348031695,0.0,0.0
6,4,9,0.44041,0,46,5,Lundestrom,0,2,8480806,-1,11,0.23913,C,0,1,20232024,1,1,0.13157,L,38,Isac Lundestrom,ANA,860.4565,51,27,0.5185591496468073,1.031864720548332,0.14583052027172527,0.46859983421282825,0.7960797140695891,1.338855138275028,0.2916610405434505,F,0.2391304347826087,-0.021739130434782608,0.021739130434782608,0.5869565217391305,1.108695652173913,0.043478260869565216,0.00957413043478261,170,3.6956521739130435,2.9478773882928575,0,Isac Lundestrom,ANA,46,0.15747192648915037,-0.010699103249804913,0.018972378593674857,0.006519223420663367,0.3267987033878324,0.4740334850287511,0.0336607356766542,0.9361111834101612,0.0
6,1,7,0,1,41,1,Samuelsson,0,26,8480807,4,7,0.17073,D,0,0,20232024,0,0,0.02272,L,44,Mattias Samuelsson,BUF,1230.0,106,87,0.3762743565985735,1.2841411298622616,0.0,0.0,2.0145219362833466,1.8209567273102532,0.9306723916262886,D,0.17073170731707318,0.0975609756097561,0.0,2.1219512195121952,2.5853658536585367,0.6341463414634146,0.0,0,0.0,0.0,0,Mattias Samuelsson,BUF,41,0.12405354099529411,0.04271232382897428,0.0,0.0,0.703909695919607,0.9164854705600715,0.3284588023394512,0.0,0.0
8,1,4,0,0,36,1,Evans,0,20,8482858,-5,9,0.25,D,0,5,20232024,0,0,0.02272,L,44,Ryker Evans,SEA,1150.7222,62,38,0.4930066485916347,1.134136425699645,0.0,0.0,0.9702360664762766,1.5204369092671124,1.0122703976826999,D,0.25,-0.1388888888888889,0.0,1.0555555555555556,1.7222222222222223,0.5555555555555556,0.0,0,0.0,0.0,0,Ryker Evans,SEA,36,0.1674473454192766,-0.06507966745535315,0.0,0.0,0.5357508034270194,0.6833030479318789,0.2760839478607472,0.0,0.0
0,0,0,0.26829,0,7,0,Ostapchuk,0,0,8482859,-1,0,0.0,C,0,0,20232024,0,0,0.0,L,5,Zack Ostapchuk,OTT,629.8571,13,6,0.0,0.34992710611188266,0.0,0.32957079612503565,1.3552618543578767,0.6388765649999398,0.0,F,0.0,-0.14285714285714285,0.0,0.8571428571428571,1.8571428571428572,0.0,0.03832714285714285,16,1.5999999999999999,1.4966629547095767,0,Zack Ostapchuk,OTT,7,0.0,-0.10582581993527491,0.0,0.028826703300678158,0.3639267776348983,1.133180433965706,0.0,0.6408554254317116,0.0
16,9,22,0.49035,1,80,12,Veleno,0,25,8480813,-16,28,0.35,C,3,5,20232024,0,1,0.13953,L,86,Joseph Veleno,DET,837.3875,108,35,0.5499999999999997,0.8573214099741122,0.0,0.4919083354420345,0.6091746465505602,1.235920709430828,1.0558616149856002,F,0.35,-0.2,0.0,0.4375,1.35,0.3125,0.006129375,335,3.941176470588235,3.1299424583189293,1,Joseph Veleno,DET,80,0.22580645161290325,-0.10768195473651901,0.0,0.004108412597737742,0.27187850674743635,0.6037781189224969,0.1520043945186402,0.9542933128885456,0.0125
2,0,1,0,0,7,0,Graf,0,0,8484911,-4,2,0.28571,R,0,1,20232024,0,0,0.0,R,7,Collin Graf,SJS,995.7142,5,7,0.45175395145262565,1.3997084244475304,0.0,0.0,0.9258200997725514,0.6998542122237652,0.0,F,0.2857142857142857,-0.5714285714285714,0.0,1.0,0.7142857142857143,0.0,0.0,0,0.0,0.0,0,Collin Graf,SJS,7,0.196806273837519,-0.2381241677559755,0.0,0.0,0.5192593015921397,0.42020410288672877,0.0,0.0,0.0
22,8,28,0,3,80,8,Miller,1,49,8480817,5,30,0.375,D,0,1,20232024,0,1,0.08333,L,96,K'Andre Miller,NYR,1293.7375,148,117,0.6959705453537527,1.4084011324903143,0.0,0.0,1.1720041595489321,1.4150971698084907,1.8674431048896767,D,0.375,0.0625,0.0,1.4625,1.85,0.6125,0.0,0,0.0,0.0,1,K'Andre Miller,NYR,80,0.22111233065181618,0.02595082652837581,0.0,0.0,0.673341251935596,0.7660147273273891,0.21360493568487582,0.0,0.0125
25,1,26,0,0,78,1,Brodie,0,40,8474673,17,26,0.33333,D,0,0,20232024,0,0,0.01923,L,52,TJ Brodie,TOR,1303.2692,41,159,0.5469417694282444,1.4290703083082026,0.0,0.0,1.4272288704061133,0.7633320844412407,1.3372722882466965,D,0.3333333333333333,0.21794871794871795,0.0,2.0384615384615383,0.5256410256410257,0.5128205128205128,0.0,0,0.0,0.0,0,TJ Brodie,TOR,78,0.21547891454022514,0.08972515830573663,0.0,0.0,0.8398307894716462,0.29809531073529416,0.21940982888442356,0.0,0.0
10,10,19,0.22058,3,72,13,Zadina,0,18,8480821,-44,23,0.31944,R,3,4,20232024,0,0,0.09489,L,137,Filip Zadina,SJS,800.3888,55,28,0.6836663596799429,1.2753600314721107,0.0,0.2705706611113131,0.6136311676215144,0.9645530852788704,0.8122328620674136,F,0.3194444444444444,-0.6111111111111112,0.0,0.3888888888888889,0.7638888888888888,0.25,0.003063611111111111,16,0.21052631578947373,0.5919590462737893,0,Filip Zadina,SJS,72,0.18973144091634006,-0.2685777646870834,0.0,0.002411208762235627,0.2410023409885603,0.3888359620378769,0.13795136664434915,0.13224355003493404,0.0
52,17,49,0.38461,4,81,23,Nyquist,0,8,8474679,7,75,0.92592,R,5,24,20232024,1,2,0.15032,L,153,Gustav Nyquist,NSH,1064.5432,36,38,0.8429486427215587,1.3895334581127419,0.1104231099999897,0.3619776784049048,0.787030985210332,0.7535922203472523,0.43333157468603073,F,0.9259259259259259,0.08641975308641975,0.012345679012345678,0.4691358024691358,0.4444444444444444,0.09876543209876543,0.0047482716049382714,17,0.18681318681318682,0.4170036474947313,0,Gustav Nyquist,NSH,81,0.5024154794452507,0.03616595230881355,0.011117995384971583,0.00348630647933912,0.26252247798261813,0.2534480019285407,0.0689061999631173,0.13183677201076605,0.0
2,1,3,0,0,39,1,Alexeyev,0,6,8480823,-8,3,0.07692,D,0,0,20232024,0,0,0.05,L,20,Alexander Alexeyev,WSH,821.7692,48,59,0.26646935501059643,1.0664940688761755,0.0,0.0,1.5337534798705825,1.4929155515907317,0.532938710021193,D,0.07692307692307693,-0.20512820512820512,0.0,1.5128205128205128,1.2307692307692308,0.15384615384615385,0.0,0,0.0,0.0,0,Alexander Alexeyev,WSH,39,0.060738206273007946,-0.0992638731548648,0.0,0.0,0.5970669699475988,0.49370674830275574,0.10036027718552877,0.0,0.0
15,11,24,0.51547,0,79,12,Kotkaniemi,0,36,8480829,-4,27,0.34177,C,1,2,20232024,0,1,0.09375,L,128,Jesperi Kotkaniemi,CAR,778.7468,56,33,0.61389142546745,0.8404148188707756,0.0,0.5762984806690689,0.5649598380866179,0.9955839039106678,0.8972174757807265,F,0.34177215189873417,-0.05063291139240506,0.0,0.4177215189873418,0.7088607594936709,0.45569620253164556,0.006524936708860759,384,4.129032258064518,2.4679703316894237,0,Jesperi Kotkaniemi,CAR,79,0.21176898675184594,-0.027511684253592312,0.0,0.004139404299933863,0.26692155850981114,0.35521471089466305,0.240191864321786,1.1906192565531717,0.0
33,14,35,0.5,8,59,19,Svechnikov,0,58,8480830,13,52,0.88135,R,5,17,20232024,0,0,0.13194,L,144,Andrei Svechnikov,CAR,1018.7796,142,22,0.9035663006957178,1.179885036200482,0.0,0.2583008585445453,0.5792544912079681,1.8786818681246231,1.241807395526386,F,0.8813559322033898,0.22033898305084745,0.0,0.3728813559322034,2.406779661016949,0.9830508474576272,0.00847457627118644,4,0.05714285714285714,0.23211538298959883,0,Andrei Svechnikov,CAR,59,0.4630024874265061,0.10107825843646144,0.0,0.006734936413370038,0.236112265634266,0.8360700387448146,0.4385081650722285,0.04637784572107686,0.0
9,1,9,0,0,30,1,Emberson,0,6,8480834,-4,10,0.33333,D,0,1,20232024,0,0,0.03225,R,31,Ty Emberson,SJS,1112.9666,94,46,0.47140452079103157,1.3597385369580761,0.0,0.0,1.1756794725698934,1.7269111795984828,0.5999999999999996,D,0.3333333333333333,-0.13333333333333333,0.0,1.5333333333333334,3.1333333333333333,0.2,0.0,0,0.0,0.0,0,Ty Emberson,SJS,30,0.22654091966098644,-0.05650343512430511,0.0,0.0,0.704760674844339,1.1490412143877355,0.12500000000000003,0.0,0.0
19,6,20,0.55271,0,74,8,Drury,0,33,8480835,4,27,0.36486,C,2,7,20232024,0,0,0.07547,L,106,Jack Drury,CAR,736.7432,30,35,0.534595687698716,0.7865747141002836,0.0,0.5692545702182744,0.7393015873832386,0.5675675675675674,1.140671825414468,F,0.36486486486486486,0.05405405405405406,0.0,0.47297297297297297,0.40540540540540543,0.44594594594594594,0.007469054054054055,444,5.045454545454545,2.5712973861329003,3,Jack Drury,CAR,74,0.23775960521042333,0.03025569187084101,0.0,0.004759619118404194,0.2719326978161136,0.25862068965517243,0.20832055649613818,1.4127791667660314,0.04054054054054054
39,14,39,0,2,81,20,Dahlin,1,66,8480839,-3,59,0.72839,D,6,20,20232024,0,0,0.0851,L,235,Rasmus Dahlin,BUF,1525.3456,195,154,0.7537944455542588,1.460969105430817,0.0,0.0,1.3389228974159841,1.6980582794589116,1.6563466499998436,D,0.7283950617283951,-0.037037037037037035,0.0,1.9012345679012346,2.4074074074074074,0.8148148148148148,0.0,0,0.0,0.0,0,Rasmus Dahlin,BUF,81,0.4153252187420387,-0.01504977732361794,0.0,0.0,0.8128675682305292,0.892274057137938,0.3067426515341523,0.0,0.0
15,2,16,0,1,82,2,Suter,0,28,8470600,14,17,0.20731,D,0,0,20232024,0,1,0.0196,L,102,Ryan Suter,DAL,1136.3902,86,111,0.4616461763597003,1.4038698957227476,0.0,0.0,1.2234691900544499,1.1571879184659966,0.9268292682926834,D,0.2073170731707317,0.17073170731707318,0.0,1.353658536585366,1.048780487804878,0.34146341463414637,0.0,0,0.0,0.0,0,Ryan Suter,DAL,82,0.1418380703372856,0.07102368876987038,0.0,0.0,0.608804719507814,0.48617947413254525,0.1772151898734177,0.0,0.0
4,5,9,0.625,4,72,11,Carter,0,12,8470604,-7,15,0.20833,C,4,4,20232024,2,2,0.12222,R,90,Jeff Carter,PIT,754.2361,83,33,0.43898557303553104,0.7102370930858665,0.16433554953054472,0.6702683922153881,0.6441510347391792,1.2322035616260614,0.5527707983925667,F,0.20833333333333334,-0.09722222222222222,0.027777777777777776,0.4583333333333333,1.1527777777777777,0.16666666666666666,0.008680555555555556,270,3.6,3.0375428666385376,0,Jeff Carter,PIT,72,0.14477791663599204,-0.05684721879514337,0.023857192876209663,0.005197102211843904,0.2787659549817704,0.5164303998054864,0.107335008385784,0.8916314003118402,0.0
