assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,hits,blockedShots,points_sd,plusMinus_sd,shg_sd,faceoffPctg_sd,blocks_sd,hits_sd,pim_sd,position,points_avg,plusMinus_avg,shg_avg,blocks_avg,hits_avg,pim_avg,faceoffPctg_avg
27,17,36,0.53277,4,82,24,Henrique,0,37,8474641,9,51,0.62195,C,5,10,20232024,2,5,0.17142,L,140,Adam Henrique,"ANA,EDM",1010.9512,99,78,0.7908045286279746,1.1043825949920425,0.15425744683748185,0.5521533741717995,0.9357720045488237,1.2171318232115862,1.3628560311237907,F,0.6219512195121951,0.10975609756097561,0.024390243902439025,0.9512195121951219,1.2073170731707317,0.45121951219512196,0.006497195121951219
4,1,4,0.41666,0,32,2,Wahlstrom,0,8,8480789,-6,6,0.1875,R,1,2,20232024,0,0,0.04878,R,41,Oliver Wahlstrom,NYI,664.2187,35,22,0.46351240544347894,1.0734727523323542,0.0,0.3144579064940816,0.8816709987291178,1.0711960313126632,0.6614378277661477,F,0.1875,-0.1875,0.0,0.6875,1.09375,0.25,0.013020625
13,3,15,0,0,66,3,Fehérváry,0,24,8480796,-7,16,0.24242,D,0,0,20232024,0,1,0.04918,L,61,Martin Fehérváry,WSH,1177.8636,188,109,0.4285495643554831,1.25684535196306,0.0,0.0,1.451148179080696,2.2241268238475764,0.846317578410239,D,0.24242424242424243,-0.10606060606060606,0.0,1.6515151515151516,2.8484848484848486,0.36363636363636365,0.0
28,20,43,0.375,2,82,22,Farabee,1,37,8480797,-13,50,0.60975,L,2,7,20232024,0,0,0.12087,L,182,Joel Farabee,PHI,971.1829,67,50,0.7284480255155165,1.234360822006844,0.0,0.4331751697878986,0.8661112636373031,0.9769046284989278,2.0009292903511415,F,0.6097560975609756,-0.15853658536585366,0.0,0.6097560975609756,0.8170731707317073,0.45121951219512196,0.004573170731707317
36,12,35,0.4635,3,75,18,Kurashev,1,23,8480798,-44,54,0.72,C,6,19,20232024,0,0,0.14062,L,128,Philipp Kurashev,CHI,1141.1066,27,48,0.8572825283028538,1.2338917654676556,0.0,0.46121295633845033,0.7050295502081219,0.603103086821261,0.9088209700241046,F,0.72,-0.5866666666666667,0.0,0.64,0.36,0.30666666666666664,0.006180000000000001
75,12,54,0,2,82,17,Hughes,1,38,8480800,38,92,1.12195,D,5,38,20232024,0,0,0.08542,L,199,Quinn Hughes,VAN,1481.0975,29,55,1.086393046405858,1.4583244808660245,0.0,0.0,0.8561809423642975,0.6123117175918632,1.1390531150083534,D,1.1219512195121952,0.4634146341463415,0.0,0.6707317073170732,0.35365853658536583,0.4634146341463415,0.0
37,25,52,0.52631,2,81,37,Tkachuk,1,134,8480801,1,74,0.91358,L,12,22,20232024,0,0,0.10364,L,357,Brady Tkachuk,OTT,1148.5308,294,34,0.9962588149052846,1.401003407266623,0.0,0.5968648778797071,0.605819464019027,2.622054817841164,3.685676291283244,F,0.9135802469135802,0.012345679012345678,0.0,0.41975308641975306,3.6296296296296298,1.654320987654321,0.006497654320987653
18,12,27,0.50835,3,81,12,McLeod,0,10,8480802,10,30,0.37037,C,0,1,20232024,0,2,0.1132,L,106,Ryan McLeod,EDM,854.5802,65,34,0.6928995160692487,1.1587851881735622,0.0,0.5377252353369801,0.6452905849566406,0.9612203288800854,0.48132317752142995,F,0.37037037037037035,0.12345679012345678,0.0,0.41975308641975306,0.8024691358024691,0.12345679012345678,0.006275925925925925
64,10,47,0,7,81,18,Bouchard,2,32,8480803,34,82,1.01234,D,8,35,20232024,0,0,0.08181,R,220,Evan Bouchard,EDM,1379.8271,71,105,0.949253470950177,1.5465149792384791,0.0,0.0,1.1160384572829152,1.0468378728740781,0.8560462134992461,D,1.0123456790123457,0.41975308641975306,0.0,1.2962962962962963,0.8765432098765432,0.3950617283950617,0.0
6,4,9,0.44041,0,46,5,Lundestrom,0,2,8480806,-1,11,0.23913,C,0,1,20232024,1,1,0.13157,L,38,Isac Lundestrom,ANA,860.4565,51,27,0.5185591496468073,1.031864720548332,0.14583052027172527,0.46859983421282825,0.7960797140695891,1.338855138275028,0.2916610405434505,F,0.2391304347826087,-0.021739130434782608,0.021739130434782608,0.5869565217391305,1.108695652173913,0.043478260869565216,0.00957413043478261
