playerId,playerName,position,team,gp,points_ratio,plusMinus_ratio,shg_ratio,faceoffPctg_ratio,blocks_ratio,hits_ratio,pim_ratio
8474641,Adam Henrique,F,ANA,62,0.35972977246153165,-0.060619184320483695,0.0,0.005386543735955902,0.4117465505709082,0.26392482612488327,0.1924001767295188
8480789,Oliver Wahlstrom,F,NYI,35,0.27743306672271684,0.06805427692828803,0.0,0.007050799954408262,0.2679711408266936,0.6352953844397312,0.3576977868675091
8480796,Martin Fehérváry,D,WSH,67,0.16356227176108554,-0.0757750640456282,0.0,0.0,0.7854266784042194,1.084775739123507,0.2352191781350246
8480797,Joel Farabee,F,PHI,82,0.28229861605904016,-0.005583378209803727,0.0,0.003163643870831791,0.3133272666413729,0.4447322036598816,0.22108905048865982
8480798,Philipp Kurashev,F,CHI,70,0.22512634911704837,-0.20421855910425651,0.0,0.004283925407646402,0.283712223495328,0.2950591098211507,0.12500000000000003
8480800,Quinn Hughes,D,VAN,78,0.51521026526936,0.08024540938781406,0.0,0.0,0.4734868299738074,0.22365780469739946,0.23116723984207768
8480801,Brady Tkachuk,F,OTT,82,0.5208242419521542,-0.05300060744148773,0.0,0.0038874422220886644,0.08133527391595813,0.9779956836680821,0.36214722116026665
8480802,Ryan McLeod,F,EDM,57,0.2494976847613514,0.036645601197571334,0.0296348592024839,0.005573478661361624,0.22248483242457726,0.37775896408282805,0.18261278838280404
8480803,Evan Bouchard,D,EDM,82,0.28090148917859564,0.03149625347086064,0.0,0.0,0.474340732043917,0.4973344259980404,0.18815538676509405
8480806,Isac Lundestrom,F,ANA,61,0.15378985182863653,-0.10872637750512455,0.014546307923404854,0.005170844035125676,0.38801774203554656,0.20955936319175444,0.026146547897253854
8480807,Mattias Samuelsson,D,BUF,55,0.13121086044428573,0.10888172448398517,0.0,0.0,0.6774122921960011,0.7042579529965555,0.19544870662937763
8480813,Joseph Veleno,F,DET,81,0.17252013333403496,-0.08017470664352792,0.0,0.0036167489609176748,0.32574731182599487,0.8194968519211284,0.20843678327325146
8480817,K'Andre Miller,D,NYR,79,0.3010286243343523,0.058251313920742835,0.0,0.0,0.6515329679889318,0.8016093131235705,0.2111376255364867
8474673,TJ Brodie,D,TOR,58,0.16904262660562447,0.07817738301702191,0.0,0.0,0.8307708805345827,0.414467359053106,0.14615474092182174
8480821,Filip Zadina,F,DET,30,0.16397829122713584,-0.10182268061174951,0.0,0.008849468856300937,0.2909014257638681,0.38024932099918346,0.19098300562505258
8474679,Gustav Nyquist,F,"CBJ,MIN",51,0.3071487710159157,-0.07963465254111769,0.03070209444087384,0.006008288166314053,0.34785826990260055,0.39249373680264676,0.18162319697002036
8480823,Alexander Alexeyev,D,WSH,32,0.11462907739807508,-0.029532874595107172,0.0,0.0,0.6330966750221404,0.5376618992328374,0.08422482966923639
8480829,Jesperi Kotkaniemi,F,CAR,82,0.28433230653785185,0.06365375071887132,0.01098901098901099,0.004058241793174072,0.16204701976218278,0.5761484402545918,0.29486849131136356
8480830,Andrei Svechnikov,F,CAR,64,0.4407527646024706,0.040417330677608006,0.0,0.005562820928186796,0.1727734158100671,0.9471663354726432,0.3449729180024205
8480835,Jack Drury,F,CAR,38,0.149555259901464,0.0463663754625005,0.0,0.009163657002426218,0.26468179879755493,0.20154294822198346,0.19381324440638487
8480839,Rasmus Dahlin,D,BUF,78,0.47621296059838225,0.06126159174551614,0.0,0.0,0.6899661842467955,0.5734125833809162,0.44052142479829176
8470600,Ryan Suter,D,DAL,82,0.2018263788427044,0.0,0.0,0.0,0.6471103795278723,0.4382060662348178,0.18322773287159388
8470604,Jeff Carter,F,PIT,79,0.23269074118783825,-0.10199418434104948,0.0,0.004687469135095915,0.35322218834099917,0.5000964876161633,0.1994120211618205
8480845,Rasmus Kupari,F,LAK,66,0.1529394505649644,-0.03966942603786751,0.0,0.005185458709184097,0.2888911367389955,0.6391777728040972,0.10873293454453432
8480848,Ty Dellandrea,F,DAL,82,0.2241879211684021,0.05665936468403837,0.0,0.003922727621612156,0.2822986160590402,0.6242996513757787,0.2937602443761233
8480849,Barrett Hayton,F,ARI,82,0.29648682820685535,-0.025885002558044937,0.0,0.004079742017433598,0.25796596957246715,0.4591278628825352,0.2526862760863757
8470610,Zach Parise,F,NYI,82,0.25535715385928887,0.04212491502086164,0.02113067926853336,0.0035728725259429393,0.49862700442102587,0.5152374814722138,0.17147081818246543
8470613,Brent Burns,D,CAR,82,0.4221745472890421,0.09953383975559262,0.0,0.01098901098901099,0.5279474713450031,0.28363681168524907,0.26325994478535547
8474709,Matt Martin,F,NYI,81,0.16475606771953194,0.02676925688510056,0.0,0.0032380418807817102,0.3053621904985025,1.1355553325719379,0.249765420402431
8480855,Jack McBain,F,ARI,82,0.2061264703691115,-0.048310853818953434,0.0,0.003698905792591773,0.34730268411187415,1.3382521230742754,0.3221136823356338
8474716,Jared Spurgeon,D,MIN,79,0.26085223833367344,0.1835588597401209,0.0,0.0,0.8521486834184921,0.43206058245862106,0.11299445183952136
8470621,Corey Perry,F,TBL,81,0.19529627043109266,-0.17214050664003241,0.0,0.0,0.20091924330900043,0.3241446445416316,0.32492883746276885
8480860,Kevin Bahl,D,NJD,42,0.13143203259026587,0.048930134158617807,0.0,0.0,0.47100727596327446,0.6990101062155346,0.23513547011354682
8480865,Noah Dobson,D,NYI,78,0.36564728024149046,0.020572931810826058,0.0,0.0,0.5828321100238378,0.42014627439240126,0.14724577241457057
8480870,Bo Groulx,F,ANA,2,0.0,0.0,0.0,0.17121673683331567,0.0,0.0,0.0
