playerId,playerName,position,team,gp,points,plusMinus,shg,faceoffPctg,blocks,hits,pim
8474641,Adam Henrique,F,EDM,81,0.20991494591721618,0.011888110486668359,0.011117995384971583,0.004365326544251785,0.5299742950719081,0.3871348362149158,0.12371243968992836
8480789,Oliver Wahlstrom,F,"NYI,BOS",43,0.10362754360509648,-0.07905787426234376,0.0,0.0134153975262943,0.3771149845032672,0.39508192590940444,0.24378191863193388
8480796,Martin Fehérváry,D,WSH,81,0.19801222027509954,0.10116169224394334,0.0,0,0.7482272755822493,0.7127884497962875,0.16765297418394584
8480797,Joel Farabee,F,"PHI,CGY",81,0.20404652168672016,-0.09956421295415331,0.0,0.0033082764985497056,0.35344465006327197,0.5347472965442571,0.19493952900629768
8480798,Philipp Kurashev,F,CHI,51,0.17978669101051445,-0.2673283287978158,0.0,0.006239309596669903,0.19893599595043848,0.3189517958545393,0.16260189503728353
8480800,Quinn Hughes,D,VAN,68,0.5882888677311139,0.01165270479537375,0.0,0,0.49449873805240824,0.13076292826985692,0.14802115435533542
8480801,Brady Tkachuk,F,OTT,72,0.42664693031923745,0.0,0.0,0.004632207599899125,0.27876595498177037,1.075761720041214,0.38779798693258144
8480802,Ryan McLeod,F,BUF,79,0.3538157491206624,0.07164508610717567,0.03188108987001089,0.004293250677864065,0.256873530488711,0.14395843630096963,0.12631695177121915
8480803,Evan Bouchard,D,EDM,82,0.4469077898441985,0.06795052588636596,0.0,0,0.5963690628383707,0.21488150002416442,0.20459795418308147
8480806,Isac Lundestrom,F,ANA,79,0.13340862679699114,-0.08110889008403929,0.0,0.003980394183277126,0.4848925882250491,0.35346647109012214,0.08512756117760413
8480807,Mattias Samuelsson,D,BUF,62,0.1484450557859649,0.021889291867819738,0.0,0,0.6311408500941234,0.683826136375378,0.14978582598369608
8482858,Ryker Evans,D,SEA,73,0.2203182559625025,-0.07010438467449259,0.0,0,0.6246486423977293,0.6982670319894531,0.21250034377809487
8482859,Zack Ostapchuk,F,"OTT,SJS",56,0.05680026625429513,-0.08716772568966967,0.0,0.005698692938248047,0.22111233065181618,0.8507746729856107,0.27502019663265853
8480813,Joseph Veleno,F,"DET,CHI",74,0.15825502434495853,-0.1691879064873281,0.0,0.0042004076737808165,0.33272616073572825,0.8044085139654653,0.1290158336818793
8484911,Collin Graf,F,SJS,33,0.2176066369748698,-0.06130359239231031,0.02586863363340361,0.008026999006267002,0.2745577861646392,0.3340568019025174,0.1466795618747134
8480817,K'Andre Miller,D,NYR,74,0.23049478590687644,0.0,0.0,0,0.6690133365934952,0.6326635364777561,0.17370735978707097
8474673,TJ Brodie,D,CHI,54,0.13337569885539968,-0.17334403427048128,0.0,0,0.532866680283527,0.19812235403258685,0.18127069559115627
8474679,Gustav Nyquist,F,"NSH,MIN",79,0.22510350624110392,-0.14050285736797705,0.011385403072151898,0.003427414923431559,0.22850585244135602,0.31666071682332897,0.12631695177121915
8480823,Alexander Alexeyev,D,WSH,8,0.0,0.11963298118022453,0.0,0,0.7958315233127196,0.583801512904337,0.0
8480829,Jesperi Kotkaniemi,F,CAR,78,0.2662925659313045,0.055009004120226274,0.0,0.004248180091634196,0.21888691394013007,0.4077672968507067,0.2686034094508748
8480830,Andrei Svechnikov,F,CAR,72,0.3636363636363636,-0.05390113046550245,0.0,0.003107154749674479,0.1947954567901415,0.8383508121379566,0.3476125135420579
8480834,Ty Emberson,D,EDM,76,0.12131293491717901,-0.0312651277545821,0.0,0,0.5989589531835607,0.6693207836205589,0.12456904718897877
8480835,Jack Drury,F,"CAR,COL",72,0.1674473454192766,0.007232508161264489,0.0,0.005087827886460597,0.3836008824927167,0.35277301432711583,0.1776954485860006
8480839,Rasmus Dahlin,D,BUF,73,0.4763348439872179,0.058691621429103016,0.0,0,0.5961062625374027,0.6422423889938578,0.32111697704748543
8480840,Oskar Bäck,F,DAL,73,0.14856260597994686,0.00829459152188573,0.0,0.004567376216065932,0.2781741746852321,0.22128258741197426,0.07531077784298737
8470600,Ryan Suter,D,STL,82,0.12909817643233798,0.037754784859029514,0.01098901098901099,0,0.5808821533997629,0.276595744680851,0.16509378371326933
8480845,Rasmus Kupari,F,WPG,59,0.10101136380937413,-0.00996490894620516,0.0,0.005726645743963496,0.29028605678929276,0.6431195498174144,0.15257075073674525
8480848,Ty Dellandrea,F,SJS,68,0.08897895308840414,-0.24445392436562755,0.0,0.004694370616232323,0.39888072367090766,0.9349848356165499,0.3326962808157559
8480849,Barrett Hayton,F,UTA,82,0.3120300282248416,-0.03270303552921598,0.0,0.004269026839294985,0.31859346071516376,0.23664122137404578,0.19352972202602559
8470613,Brent Burns,D,CAR,82,0.22510376098426413,0.03426353706980048,0.0,0,0.585529823407648,0.0975688916288862,0.188155386765094
8474709,Matt Martin,F,NYI,32,0.05031957117756259,-0.08705312090246937,0.0,0.011387910829673045,0.36990228368304373,1.0171049374738623,0.14138305592592793
8480855,Jack McBain,F,UTA,82,0.21049194577001926,0.05156964421436695,0.0,0.003952217119201168,0.3345186193892264,1.2343254418051024,0.284617438631883
8474715,Cam Atkinson,F,TBL,39,0.15610160020835578,-0.04985600572461689,0.0,0.007374498987693639,0.17847777119474895,0.2131627295330659,0.1296442495684967
8474716,Jared Spurgeon,D,MIN,66,0.2886645326414798,0.05388580200442951,0.0,0,0.7272190247574305,0.42082984406698515,0.13127690823918484
8470621,Corey Perry,F,EDM,81,0.2349825629136746,0.07519984117045676,0.0,0.0044548394512941136,0.19998430427899586,0.255864910193427,0.2492278879952532
