assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,hits,blockedShots,points_sd,plusMinus_sd,shg_sd,faceoffPctg_sd,blocks_sd,hits_sd,pim_sd,position,points_avg,plusMinus_avg,shg_avg,blocks_avg,hits_avg,pim_avg,faceoffPctg_avg
8,2,9,0,0,55,2,Samuelsson,0,20,8480807,14,10,0.18181,D,0,0,20222023,0,1,0.02631,L,76,Mattias Samuelsson,BUF,1330.5636,107,91,0.38569460791993504,1.3378161555743382,0.0,0.0,1.442449706930815,1.7624175732440197,0.8605206957235805,D,0.18181818181818182,0.2545454545454545,0.0,1.6545454545454545,1.9454545454545455,0.36363636363636365,0.0
11,8,16,0.42549,1,81,9,Veleno,0,30,8480813,-12,20,0.24691,C,1,4,20222023,0,0,0.10588,L,85,Joseph Veleno,DET,766.5555,152,44,0.4312160295450118,0.8478165290562663,0.0,0.4523991075206206,0.6675805350417668,1.2898723838626152,0.7768954430890016,F,0.24691358024691357,-0.14814814814814814,0.0,0.5432098765432098,1.876543209876543,0.37037037037037035,0.005252962962962963
34,9,38,0,2,79,9,Miller,0,47,8480817,12,43,0.5443,D,0,3,20222023,0,2,0.07964,L,113,K'Andre Miller,NYR,1317.1265,162,105,0.8081463138993604,1.6076447714791413,0.0,0.0,1.039979539566771,1.5581450687016827,1.8177673560032925,D,0.5443037974683544,0.1518987341772152,0.0,1.3291139240506329,2.050632911392405,0.5949367088607594,0.0
12,2,13,0,0,58,2,Brodie,0,14,8474673,10,14,0.24137,D,0,0,20222023,0,1,0.03448,L,58,TJ Brodie,TOR,1273.0517,47,111,0.42791978089623645,1.2054178133067954,0.0,0.0,1.3036352721183393,0.9551475161699687,0.6515325388859028,D,0.2413793103448276,0.1724137931034483,0.0,1.9137931034482758,0.8103448275862069,0.2413793103448276,0.0
4,3,7,0.33333,2,30,3,Zadina,0,10,8480821,-5,7,0.23333,R,0,0,20222023,0,0,0.05882,L,51,Filip Zadina,DET,785.8,22,15,0.4229525846816505,0.6368324391514268,0.0,0.255555579710168,0.7187952884282609,0.9285592184789413,0.7453559924999298,F,0.23333333333333334,-0.16666666666666666,0.0,0.5,0.7333333333333333,0.3333333333333333,0.011111000000000001
16,9,24,0.4375,2,51,11,Nyquist,0,16,8474679,-9,27,0.52941,R,0,1,20222023,2,2,0.10784,L,102,Gustav Nyquist,"CBJ,MIN",1057.1764,41,30,0.7236330230292523,1.216002488918718,0.27729677693590105,0.4277663013309979,0.6910200073218079,1.048240502323424,0.7273426270977023,F,0.5294117647058824,-0.17647058823529413,0.0392156862745098,0.5882352941176471,0.803921568627451,0.3137254901960784,0.00857843137254902
5,0,5,0,0,32,0,Alexeyev,0,4,8480823,-2,5,0.15625,D,0,0,20222023,0,0,0.0,L,28,Alexander Alexeyev,WSH,987.25,33,48,0.3630921887069453,1.1162856937182344,0.0,0.0,1.3693063937629153,0.9180269263480239,0.4841229182759271,D,0.15625,-0.0625,0.0,1.5,1.03125,0.125,0.0
25,14,31,0.51428,2,82,18,Kotkaniemi,0,50,8480829,10,43,0.52439,C,3,11,20222023,1,1,0.13953,L,129,Jesperi Kotkaniemi,CAR,884.1585,105,21,0.8442865332034626,0.9158528466106626,0.10975609756097558,0.5454247520741932,0.5803904406971125,1.2224963488788054,1.0678916721458365,F,0.524390243902439,0.12195121951219512,0.012195121951219513,0.25609756097560976,1.2804878048780488,0.6097560975609756,0.00627170731707317
32,18,39,0.44444,4,64,23,Svechnikov,0,71,8480830,6,55,0.85937,R,5,16,20222023,0,0,0.11219,L,205,Andrei Svechnikov,CAR,1082.8906,140,17,0.9497892447143208,1.3195495206698382,0.0,0.2483549425099904,0.537418235059995,1.3095204274848102,2.2158321482853793,F,0.859375,0.09375,0.0,0.265625,2.1875,1.109375,0.006944375
6,2,7,0.53174,1,38,2,Drury,0,14,8480835,3,8,0.21052,C,0,1,20222023,0,0,0.02898,L,69,Jack Drury,CAR,647.1052,12,16,0.40768245749551735,0.70268578541151,0.0,0.5270276802189279,0.5907880084379907,0.5668594533825794,0.9009075141380889,F,0.21052631578947367,0.07894736842105263,0.0,0.42105263157894735,0.3157894736842105,0.3684210526315789,0.013993157894736841
58,9,41,0,2,78,15,Dahlin,0,92,8480839,12,73,0.93589,D,6,32,20222023,0,0,0.07352,L,204,Rasmus Dahlin,BUF,1547.7435,105,132,0.9652918196964654,1.5112986695683461,0.0,0.0,1.4527400486374664,1.3476182510972217,1.6774797162867825,D,0.9358974358974359,0.15384615384615385,0.0,1.6923076923076923,1.3461538461538463,1.1794871794871795,0.0
22,3,20,0,1,82,3,Suter,0,26,8470600,0,25,0.30487,D,0,4,20222023,0,1,0.0326,L,92,Ryan Suter,DAL,1222.7682,81,115,0.5105956442794717,1.1686974195815552,0.0,0.0,1.167233085356249,1.2542017424273944,0.7304867869205827,D,0.3048780487804878,0.0,0.0,1.4024390243902438,0.9878048780487805,0.3170731707317073,0.0
16,9,19,0.59381,2,79,13,Carter,1,30,8470604,-16,29,0.36708,C,4,9,20222023,0,1,0.09352,R,139,Jeff Carter,PIT,822.3797,80,54,0.5775814960278396,0.9857175865281914,0.0,0.6035481113257947,0.9351680793551327,1.0249256951897296,0.9043327138983158,F,0.3670886075949367,-0.20253164556962025,0.0,0.6835443037974683,1.0126582278481013,0.379746835443038,0.007516582278481012
12,3,14,0.5459,0,66,3,Kupari,0,12,8480845,-5,15,0.22727,C,0,0,20222023,0,1,0.0566,R,53,Rasmus Kupari,LAK,605.6969,80,34,0.4860307555256197,0.9097220031683682,0.0,0.5950781956016289,0.7832029080800049,0.8963757247120632,0.6721537276611768,F,0.22727272727272727,-0.07575757575757576,0.0,0.5151515151515151,1.2121212121212122,0.18181818181818182,0.008271212121212122
19,9,25,0.50746,2,82,9,Dellandrea,0,54,8480848,9,28,0.34146,C,0,0,20222023,0,3,0.09782,R,92,Ty Dellandrea,DAL,852.0243,125,39,0.5231124534031029,0.9371219245579581,0.0,0.5776105766993069,0.6847753727495834,1.4417605240418072,1.2417484937910108,F,0.34146341463414637,0.10975609756097561,0.0,0.47560975609756095,1.524390243902439,0.6585365853658537,0.006188536585365854
24,15,32,0.51056,4,82,19,Hayton,2,42,8480849,-5,43,0.52439,C,4,10,20222023,0,1,0.10674,L,178,Barrett Hayton,ARI,1049.8658,83,33,0.7686797321619233,1.3556346814865052,0.0,0.5261605848625143,0.5600469513758549,1.2046039976671659,1.0270001595818203,F,0.524390243902439,-0.06097560975609756,0.0,0.4024390243902439,1.0121951219512195,0.5121951219512195,0.006226341463414635
