assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,hits,blockedShots,points_sd,plusMinus_sd,shg_sd,faceoffPctg_sd,blocks_sd,hits_sd,pim_sd,position,points_avg,plusMinus_avg,shg_avg,blocks_avg,hits_avg,pim_avg,faceoffPctg_avg,faceoffWins,faceoff_avg,faceoff_sd,fights,playerName,team,gp,points_ratio,plusMinus_ratio,shg_ratio,faceoffPctg_ratio,blocks_ratio,hits_ratio,pim_ratio,faceoff_ratio,fights_ratio,faceoff,shg,blocks,pim
16,18,28,0.51121,1,62,22,Henrique,0,22,8474641,-8,38,0.6129,C,4,10,20222023,0,0,0.16666,L,132,Adam Henrique,ANA,1090.8064,28,46,0.7037878783635944,1.1285713344861874,0.0,0.5307260062898084,0.8019227673971652,0.7111421833886646,0.8442743437614451,F,0.6129032258064516,-0.12903225806451613,0.0,0.7419354838709677,0.45161290322580644,0.3548387096774194,0.008245322580645162,350,5.303030303030304,3.6720471417457237,1,Adam Henrique,ANA,62,0.35972977246153165,-0.060619184320483695,0.0,0.005386543735955902,0.4117465505709082,0.26392482612488327,0.1924001767295188,1.1350549645885661,0.016129032258064516,350,0,46,22
9,6,15,0.35,1,35,7,Wahlstrom,0,32,8480789,5,16,0.45714,R,1,1,20222023,0,0,0.1,R,70,Oliver Wahlstrom,NYI,729.9428,50,15,0.647759088500265,1.0991648035240769,0.0,0.4182787860472282,0.5993193418115154,1.2486727647664086,1.5560284347645823,F,0.45714285714285713,0.14285714285714285,0.0,0.42857142857142855,1.4285714285714286,0.9142857142857143,0.01,7,0.18421052631578952,0.3876557858593746,2,Oliver Wahlstrom,NYI,35,0.27743306672271684,0.06805427692828803,0.0,0.007050799954408262,0.2679711408266936,0.6352953844397312,0.3576977868675091,0.13274943843635403,0.05714285714285714,7,0,15,32
10,6,16,0,1,67,6,Fehérváry,0,31,8480796,-11,16,0.2388,D,0,0,20222023,0,0,0.06593,L,91,Martin Fehérváry,WSH,1200.0149,217,128,0.4600308957439537,1.166664014678377,0.0,0.0,1.4323693270459792,1.9856917456194134,0.9670444001746307,D,0.23880597014925373,-0.16417910447761194,0.0,1.9104477611940298,3.2388059701492535,0.4626865671641791,0.0,0,0.0,0.0,1,Martin Fehérváry,WSH,67,0.16356227176108554,-0.0757750640456282,0.0,0.0,0.7854266784042194,1.084775739123507,0.2352191781350246,0.0,0.014925373134328358,0,0,128,31
24,15,37,0.35555,1,82,15,Farabee,0,41,8480797,-1,39,0.4756,L,0,2,20222023,0,0,0.10344,L,145,Joel Farabee,PHI,1020.6463,71,45,0.6847753727495836,1.184183390945355,0.0,0.3705637507852847,0.7514610001465319,0.9469101886733737,1.261532169480488,F,0.47560975609756095,-0.012195121951219513,0.0,0.5487804878048781,0.8658536585365854,0.5,0.004335975609756097,16,0.19512195121951223,0.4798125749489269,3,Joel Farabee,PHI,82,0.28229861605904016,-0.005583378209803727,0.0,0.003163643870831791,0.3133272666413729,0.4447322036598816,0.22108905048865982,0.13185585426333232,0.036585365853658534,16,0,45,41
16,9,21,0.44736,2,70,9,Kurashev,0,14,8480798,-32,25,0.35714,C,0,4,20222023,0,0,0.07758,L,116,Philipp Kurashev,CHI,1045.2285,38,34,0.5864107357649652,1.2384981029539,0.0,0.491822694076341,0.7119963311072642,0.839825054668518,0.5999999999999996,F,0.35714285714285715,-0.45714285714285713,0.0,0.4857142857142857,0.5428571428571428,0.2,0.006390857142857143,88,1.189189189189189,2.1414548961665196,0,Philipp Kurashev,CHI,70,0.22512634911704837,-0.20421855910425651,0.0,0.004283925407646402,0.283712223495328,0.2950591098211507,0.12500000000000003,0.3785472745893448,0.0,88,0,34,14
69,5,41,0,0,78,7,Hughes,0,34,8480800,15,76,0.97435,D,2,34,20222023,0,1,0.04545,L,154,Quinn Hughes,VAN,1539.6666,29,71,0.8911870357427064,1.3964946253597883,0.0,0.0,0.9224534931769154,0.6623380181071534,0.8856367199574646,D,0.9743589743589743,0.19230769230769232,0.0,0.9102564102564102,0.3717948717948718,0.4358974358974359,0.0,0,0.0,0.0,0,Quinn Hughes,VAN,78,0.51521026526936,0.08024540938781406,0.0,0.0,0.4734868299738074,0.22365780469739946,0.23116723984207768,0.0,0.0,0,0,71,34
48,24,54,0.48366,6,82,35,Tkachuk,2,126,8480801,-10,83,1.01219,L,11,29,20222023,0,0,0.10086,L,347,Brady Tkachuk,OTT,1117.9268,242,9,0.9434485579190945,1.3009400344482527,0.0,0.5172682565961753,0.3494280190705949,2.0176201812325423,3.2429853829353266,F,1.0121951219512195,-0.12195121951219512,0.0,0.10975609756097561,2.951219512195122,1.5365853658536586,0.005898292682926829,375,4.360465116279071,2.560490463089801,8,Brady Tkachuk,OTT,82,0.5208242419521542,-0.05300060744148773,0.0,0.0038874422220886644,0.08133527391595813,0.9779956836680821,0.36214722116026665,1.2246810268086075,0.0975609756097561,375,0,9,126
12,9,20,0.4816,0,57,11,McLeod,0,18,8480802,4,23,0.4035,C,0,0,20222023,2,3,0.14102,L,78,Ryan McLeod,EDM,851.1403,40,20,0.6172846345880414,0.9149757761687931,0.18400155231055287,0.5159514049262345,0.5770836562595975,0.8576776534442329,0.729284550555317,F,0.40350877192982454,0.07017543859649122,0.03508771929824561,0.3508771929824561,0.7017543859649122,0.3157894736842105,0.008449122807017543,379,5.053333333333335,2.2972060324567227,0,Ryan McLeod,EDM,57,0.2494976847613514,0.036645601197571334,0.0296348592024839,0.005573478661361624,0.22248483242457726,0.37775896408282805,0.18261278838280404,1.5326107266545714,0.0,379,2,20,18
32,6,26,0,2,82,8,Bouchard,1,28,8480803,6,40,0.4878,D,2,13,20222023,0,1,0.05128,R,156,Evan Bouchard,EDM,1110.9878,95,77,0.7365692131971462,1.3231566819530576,0.0,0.0,0.9796410613899429,1.3294920375578798,0.8147947848043938,D,0.4878048780487805,0.07317073170731707,0.0,0.9390243902439024,1.1585365853658536,0.34146341463414637,0.0,0,0.0,0.0,0,Evan Bouchard,EDM,82,0.28090148917859564,0.03149625347086064,0.0,0.0,0.474340732043917,0.4973344259980404,0.18815538676509405,0.0,0.0,0,0,77,28
10,3,13,0.47508,0,61,4,Lundestrom,0,2,8480806,-13,14,0.2295,C,0,0,20222023,1,1,0.06666,L,60,Isac Lundestrom,ANA,860.0327,20,43,0.49234942353053107,0.9601016697932017,0.12698306053139075,0.5061751366713163,0.8167159807922062,0.5645631264827068,0.25396612106278144,F,0.22950819672131148,-0.21311475409836064,0.01639344262295082,0.7049180327868853,0.32786885245901637,0.03278688524590164,0.007788196721311476,306,4.6363636363636385,2.086292664007092,0,Isac Lundestrom,ANA,61,0.15378985182863653,-0.10872637750512455,0.014546307923404854,0.005170844035125676,0.38801774203554656,0.20955936319175444,0.026146547897253854,1.5022436758619029,0.0,306,1,43,2
8,2,9,0,0,55,2,Samuelsson,0,20,8480807,14,10,0.18181,D,0,0,20222023,0,1,0.02631,L,76,Mattias Samuelsson,BUF,1330.5636,107,91,0.38569460791993504,1.3378161555743382,0.0,0.0,1.442449706930815,1.7624175732440197,0.8605206957235805,D,0.18181818181818182,0.2545454545454545,0.0,1.6545454545454545,1.9454545454545455,0.36363636363636365,0.0,0,0.0,0.0,0,Mattias Samuelsson,BUF,55,0.13121086044428573,0.10888172448398517,0.0,0.0,0.6774122921960011,0.7042579529965555,0.19544870662937763,0.0,0.0,0,0,91,20
11,8,16,0.42549,1,81,9,Veleno,0,30,8480813,-12,20,0.24691,C,1,4,20222023,0,0,0.10588,L,85,Joseph Veleno,DET,766.5555,152,44,0.4312160295450118,0.8478165290562663,0.0,0.4523991075206206,0.6675805350417668,1.2898723838626152,0.7768954430890016,F,0.24691358024691357,-0.14814814814814814,0.0,0.5432098765432098,1.876543209876543,0.37037037037037035,0.005252962962962963,306,3.5581395348837206,2.1545228315552394,0,Joseph Veleno,DET,81,0.17252013333403496,-0.08017470664352792,0.0,0.0036167489609176748,0.32574731182599487,0.8194968519211284,0.20843678327325146,1.1279485757056609,0.0,306,0,44,30
34,9,38,0,2,79,9,Miller,0,47,8480817,12,43,0.5443,D,0,3,20222023,0,2,0.07964,L,113,K'Andre Miller,NYR,1317.1265,162,105,0.8081463138993604,1.6076447714791413,0.0,0.0,1.039979539566771,1.5581450687016827,1.8177673560032925,D,0.5443037974683544,0.1518987341772152,0.0,1.3291139240506329,2.050632911392405,0.5949367088607594,0.0,0,0.0,0.0,0,K'Andre Miller,NYR,79,0.3010286243343523,0.058251313920742835,0.0,0.0,0.6515329679889318,0.8016093131235705,0.2111376255364867,0.0,0.0,0,0,105,47
