playerId,faceoffWins,faceoff_avg,faceoff_sd,fights
8479996,385,5.065789473684208,3.2940757281894864,1
8477949,32,0.41558441558441556,0.690391369350754,0
8479998,0,0.0,0.0,0
8479999,353,4.1529411764705895,3.152985074321275,0
8477951,40,0.6153846153846155,0.8355984993230934,0
8477953,30,0.42857142857142855,1.488733196584346,0
8480002,1030,10.95744680851064,3.4852726430089844,0
8477956,8,0.08791208791208793,0.2831670049829698,0
8480003,88,1.0999999999999999,1.7930421077041108,0
8480001,0,0.0,0.0,0
8477950,0,0.0,0.0,2
8477952,10,0.35714285714285715,0.9715336077668174,0
8482055,26,0.5306122448979592,1.2138997843235144,0
8477960,18,0.19354838709677416,0.67613806117258,1
8475913,1,0.014705882352941176,0.12037283488047722,0
8471817,4,0.04878048780487806,0.2660661491374564,7
8477964,78,0.7289719626168224,1.301114500395387,2
8480012,456,5.42857142857143,2.376901315567303,0
8480014,75,1.0135135135135132,1.502189782187749,0
8480009,5,0.06329113924050635,0.24348587419837145,0
8480015,19,0.23170731707317072,0.5695265575041764,0
8477969,0,0.0,0.0,2
8480018,673,8.10843373493976,2.9819216258913204,0
8482062,0,0.0,0.0,6
8477971,0,0.0,0.0,5
8482070,2,0.6666666666666667,0.4714045207910317,0
8480023,676,8.779220779220779,3.0562831880050827,0
8482073,0,0.0,0.0,3
8482074,8,2.6666666666666665,1.247219128924647,0
8480027,0,0.0,0.0,0
8480028,480,5.581395348837208,2.8792162866124964,0
8482077,28,0.4912280701754385,0.8810441775080505,1
8482078,5,0.06410256410256408,0.24493555351977944,0
8482079,94,3.7599999999999993,1.9241621553289108,0
8477979,6,0.10526315789473686,0.30689220499185793,1
8480025,96,1.3714285714285719,1.782225162714365,0
8477986,0,0.0,0.0,2
8480035,0,0.0,0.0,0
8480036,0,0.0,0.0,0
8477989,502,7.492537313432833,3.0487243935312005,0
8477987,85,0.9659090909090908,1.335263539159317,2
8480039,207,2.0700000000000007,1.7846848461283018,0
8482087,0,0.0,0.0,1
8482089,7,0.1428571428571429,0.5345224838248488,2
8480043,0,0.0,0.0,0
8482092,45,2.142857142857143,1.6120296076010243,0
8482093,13,0.13,0.39127995093027707,0
8477998,7,0.08433734939759037,0.2778930745703806,0
8482095,0,0.0,0.0,0
8484144,0,0,0,0
8480049,0,0.0,0.0,1
8482097,12,0.15,0.3570714214271425,1
8484145,0,0,0,0
8482105,0,0.0,0.0,0
8478010,458,5.032967032967035,2.8379320340139236,1
8484153,0,0,0,0
8480058,0,0.0,0.0,0
8482109,29,0.31521739130434767,0.6582147764001167,1
8482110,87,0.8877551020408165,1.3468228150454797,0
8482111,0,0.0,0.0,0
8480064,47,3.9166666666666665,3.639100926816342,0
8482113,396,4.040816326530612,2.9655104779507164,1
8478013,0,0.0,0.0,1
8482116,206,2.512195121951219,1.6765520835204293,0
8480069,0,0.0,0.0,0
8478020,38,0.4367816091954023,0.6898467166953405,0
8484166,0,0,0,0
8482118,0,0,0,0
8480068,220,3.7931034482758625,3.387393569722156,0
8482122,0,0.0,0.0,0
8480074,0,0,0,0
8482124,82,1.322580645161291,2.613699599865116,0
8482125,1,0.04166666666666667,0.19982631347136331,0
8480078,322,3.744186046511628,2.469281255522559,0
8482126,0,0,0,0
8480073,0,0.0,0.0,0
8478028,3,0.08823529411764706,0.28363678708802803,0
8482132,0,0,0,0
8478038,0,0.0,0.0,0
8478042,30,0.35714285714285715,0.5699385335040869,0
8478043,261,3.144578313253011,2.464849418018388,3
8478046,3,0.044117647058823546,0.20535647123189615,0
8478047,1,0.010869565217391308,0.1036890436322767,1
8482142,0,0.0,0.0,0
8482145,11,2.2,1.9390719429665317,0
8482146,0,0.0,0.0,0
8482144,0,0.0,0,0
8482148,19,6.333333333333333,2.8674417556808756,0
8482149,6,0.10714285714285716,0.3624604130390079,0
8478055,0,0.0,0.0,0
8478057,23,0.27380952380952406,0.6239503657799362,5
8482155,0,0,0,0
8482157,2,0.33333333333333337,0.74535599249993,2
8482159,0,0.0,0.0,0
8480113,12,0.17391304347826095,0.44904154738636715,0
8482166,0,0,0,0
8482172,0,0,0,0
8478078,21,2.3333333333333335,1.8257418583505538,0
8482175,6,0.07317073170731708,0.260416542732471,0
8482176,0,0.0,0.0,0
8482177,0,0,0,0
8473986,2,0.021978021978021987,0.14661169301237728,1
8484227,0,0,0,0
8473994,643,6.242718446601943,3.209409767644202,2
8480144,675,7.031249999999998,3.018875083674933,0
8480145,0,0.0,0.0,1
8482192,0,0.0,0.0,1
8478099,5,0.06578947368421051,0.29627184866309747,0
8478104,2,0.027027027027027032,0.16216216216216217,0
8482201,0,0.0,0,0
8474009,237,3.6461538461538456,2.9996449494040465,0
8478109,1,0.012820512820512822,0.11249954342810412,0
8474013,0,0.0,0.0,1
8484258,0,0,0,0
8478115,34,0.4096385542168676,0.7610415275833137,0
8480172,0,0.0,0.0,0
8482222,1,0.014705882352941176,0.12037283488047722,0
8474031,0,0.0,0.0,0
8474034,2,0.022471910112359553,0.14821242649744856,13
8478133,356,6.033898305084744,2.7859581420615713,2
8474037,7,0.10937500000000001,0.35869500885153116,0
8478136,0,0.0,0.0,4
8480185,206,2.0,2.902961326993423,0
8480184,0,0.0,0.0,0
8480188,7,0.09722222222222227,0.3399232847366782,0
8480192,0,0.0,0.0,1
8482241,32,2.1333333333333337,2.0933757957476775,0
8478146,1,0.14285714285714288,0.3499271061118826,0
8480196,0,0.0,0.0,0
8482245,0,0.0,0.0,1
8482117,7,0.28,0.6645299090334459,0
8480205,7,0.11864406779661019,0.32336922081930364,0
8484304,0,0,0,0
8480208,13,0.1494252873563219,0.4160220935828473,1
8482259,1,0.07142857142857144,0.25753937681885636,0
8480220,429,4.93103448275862,2.6900972227368394,0
8480222,0,0.0,0.0,0
8484321,0,0,0,0
8478178,0,0.0,0.0,0
8474090,0,0.0,0.0,3
8480246,0,0.0,0.0,0
8474102,3,0.03488372093023257,0.23858470382189756,0
8478233,5,0.05882352941176469,0.2808785032073723,0
8480281,2,0.028985507246376812,0.1677657522143511,0
8474141,1,0.012048192771084338,0.10910102576069176,0
8480289,13,0.1688311688311689,0.3746027299183366,1
8484387,0,0,0,0
8474149,2,0.02150537634408603,0.14506169422830154,0
8474150,730,8.488372093023255,3.2304661124065754,0
8474151,0,0.0,0.0,0
8474157,0,0.0,0.0,0
