assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,hits,blockedShots,points_sd,plusMinus_sd,shg_sd,faceoffPctg_sd,blocks_sd,hits_sd,pim_sd,position,points_avg,plusMinus_avg,shg_avg,blocks_avg,hits_avg,pim_avg,faceoffPctg_avg
15,9,20,0.55643,3,81,12,Henrique,0,16,8474641,2,27,0.33333,C,2,6,20242025,1,1,0.11538,L,104,Adam Henrique,EDM,878.6419,58,85,0.5879447357921309,1.0769791845710803,0.11042310999998975,0.5736523037171636,0.9800634215797206,0.8496123720535923,0.5966936283256581,F,0.3333333333333333,0.024691358024691357,0.012345679012345678,1.0493827160493827,0.7160493827160493,0.19753086419753085,0.006869506172839506
3,3,5,0.75,1,43,3,Wahlstrom,0,37,8480789,-6,6,0.13953,R,0,1,20242025,0,0,0.05555,R,54,Oliver Wahlstrom,"NYI,BOS",613.5581,34,30,0.3465038238546822,0.7649713582976062,0.0,0.3001374302125654,0.8500310177905614,1.001351169377255,2.5296510959790037,F,0.13953488372093023,-0.13953488372093023,0.0,0.6976744186046512,0.7906976744186046,0.8604651162790697,0.01744186046511628
20,5,23,0,0,81,5,Fehérváry,0,25,8480796,18,25,0.30864,D,0,0,20242025,0,2,0.06578,L,76,Martin Fehérváry,WSH,1140.2839,139,150,0.5587016542708519,1.1967032904743335,0.0,0.0,1.474985759388139,1.4075156986711703,0.8409573514037725,D,0.30864197530864196,0.2222222222222222,0.0,1.8518518518518519,1.7160493827160495,0.30864197530864196,0.0
14,11,21,0.36734,1,81,11,Farabee,0,34,8480797,-17,25,0.30864,L,0,4,20242025,0,0,0.07284,L,151,Joel Farabee,"PHI,CGY",894.8024,94,50,0.512605913383375,1.107951612157263,0.0,0.37082306463294684,0.7464798250780729,1.1701724060318803,1.1532476689537532,F,0.30864197530864196,-0.20987654320987653,0.0,0.6172839506172839,1.1604938271604939,0.41975308641975306,0.004535061728395062
7,6,13,0.47087,1,51,7,Kurashev,1,14,8480798,-28,14,0.2745,C,1,1,20242025,0,0,0.12962,L,54,Philipp Kurashev,CHI,823.1568,30,16,0.5268638761782122,1.053727752356424,0.0,0.4797703103187883,0.5770172144926339,0.8442764761416074,0.6882325009719311,F,0.27450980392156865,-0.5490196078431373,0.0,0.3137254901960784,0.5882352941176471,0.27450980392156865,0.009232745098039216
60,12,47,0,3,68,16,Hughes,0,29,8480800,2,76,1.11764,D,4,29,20242025,0,0,0.08333,L,192,Quinn Hughes,VAN,1543.75,13,67,0.899826972986962,1.52402898918019,0.0,0.0,0.9925108839057036,0.4620081786001478,1.8811462124631242,D,1.1176470588235294,0.029411764705882353,0.0,0.9852941176470589,0.19117647058823528,0.4264705882352941,0.0
26,15,32,0.51296,5,72,29,Tkachuk,4,123,8480801,0,55,0.76388,L,14,23,20242025,0,0,0.09797,L,296,Brady Tkachuk,OTT,1094.25,228,33,0.7904474041740112,1.3123346456686351,0.0,0.5380235645310005,0.6441510347391795,1.9436506316151003,3.4052145470015716,F,0.7638888888888888,0.0,0.0,0.4583333333333333,3.1666666666666665,1.7083333333333333,0.007124444444444444
33,17,45,0.52325,2,79,20,McLeod,0,16,8480802,13,53,0.67088,C,0,2,20242025,3,6,0.20618,L,97,Ryan McLeod,BUF,1009.6075,17,35,0.8961453174900184,1.296835288593995,0.19113504899419628,0.5427512201114247,0.7247319092809945,0.49480557685296356,0.6033607740664806,F,0.6708860759493671,0.16455696202531644,0.0379746835443038,0.4430379746835443,0.21518987341772153,0.20253164556962025,0.006623417721518987
53,11,41,0,2,82,14,Bouchard,1,32,8480803,14,67,0.81707,D,3,26,20242025,0,0,0.05957,R,235,Evan Bouchard,EDM,1407.5,31,108,0.8282813352091182,1.5125884618257222,0.0,0.0,1.2084867455451218,0.7593361012711264,0.9073695237921118,D,0.8170731707317073,0.17073170731707318,0.0,1.3170731707317074,0.3780487804878049,0.3902439024390244,0.0
11,4,14,0.47222,1,79,4,Lundestrom,0,10,8480806,-12,15,0.18987,C,0,1,20242025,0,0,0.06666,L,60,Isac Lundestrom,ANA,812.8354,48,68,0.4232469239822905,0.8727754013133268,0.0,0.5017277383088297,0.7751549818934108,0.7189605985398948,0.4869717483967425,F,0.189873417721519,-0.1518987341772152,0.0,0.8607594936708861,0.6075949367088608,0.12658227848101267,0.00597746835443038
10,4,13,0,1,62,4,Samuelsson,0,22,8480807,3,14,0.2258,D,0,1,20242025,0,0,0.07692,L,52,Mattias Samuelsson,BUF,1158.2096,105,93,0.521144981335597,1.2105373287716639,0.0,0.0,1.376648571830364,1.4765774471175253,1.3689738821885789,D,0.22580645161290322,0.04838709677419355,0.0,1.5,1.6935483870967742,0.3548387096774194,0.0
20,4,22,0,0,73,5,Evans,0,30,8482858,-12,25,0.34246,D,1,3,20242025,0,0,0.08474,L,59,Ryker Evans,SEA,1168.8356,123,106,0.5544138724615907,1.3448399469890275,0.0,0.0,1.324594493548885,1.413018844737274,0.9339211259758528,D,0.3424657534246575,-0.1643835616438356,0.0,1.452054794520548,1.6849315068493151,0.410958904109589,0.0
3,1,4,0.48581,0,56,1,Ostapchuk,0,45,8482859,-8,4,0.07142,C,0,0,20242025,0,0,0.03846,L,26,Zack Ostapchuk,"OTT,SJS",565.1607,110,21,0.2575393768188564,0.6388765649999399,0.0,0.5223102324400001,0.6959705453537527,1.3088201572720495,1.9218633337127242,F,0.07142857142857142,-0.14285714285714285,0.0,0.375,1.9642857142857142,0.8035714285714286,0.008675178571428572
9,8,17,0.46853,0,74,8,Veleno,0,17,8480813,-23,17,0.22972,C,0,0,20242025,0,0,0.10666,L,75,Joseph Veleno,"DET,CHI",727.0945,139,44,0.45164256667752456,0.837074630591815,0.0,0.5073504712430615,0.787038906949245,1.3351050439764744,0.7806320602181718,F,0.22972972972972974,-0.3108108108108108,0.0,0.5945945945945946,1.8783783783783783,0.22972972972972974,0.006331486486486486
6,3,6,0.33333,1,33,5,Graf,0,8,8484911,-4,11,0.33333,R,1,4,20242025,1,1,0.125,R,40,Collin Graf,SJS,951.5757,20,15,0.5318160234783104,0.9772433634301275,0.17141982574219347,0.2583668047078245,0.6555547773570889,0.8142441722754183,0.6527472493496367,F,0.3333333333333333,-0.12121212121212122,0.030303030303030304,0.45454545454545453,0.6060606060606061,0.24242424242424243,0.010100909090909091
20,7,25,0,1,74,7,Miller,0,22,8480817,0,27,0.36486,D,0,2,20242025,0,0,0.06363,L,110,K'Andre Miller,NYR,1316.7972,107,110,0.5829636381114325,1.433197144168957,0.0,0.0,1.2219086005899802,1.2854896205904294,0.7114835989777396,D,0.36486486486486486,0.0,0.0,1.4864864864864864,1.445945945945946,0.2972972972972973,0.0
8,2,10,0,0,54,2,Brodie,0,18,8474673,-18,10,0.18518,D,0,0,20242025,0,0,0.08695,L,23,TJ Brodie,CHI,937.9444,16,58,0.38844772154450075,0.9229582069908973,0.0,0.0,1.0156525333927473,0.4955217837133206,0.8388704928078611,D,0.18518518518518517,-0.3333333333333333,0.0,1.0740740740740742,0.2962962962962963,0.3333333333333333,0.0
